PIS (Podcast Information System);JODA (JSON Objects Data Application);OSMOS (Open Semantic Metadata Objects System);FAMOS (Free Applications for Metadata Organizing Systems);FAMOUS (Famous Applications for Metadata Organizing and Utilizing Systems);MIS (Media/Meta Information System);ITDB (Internet Podcast Database);IMIS (Internet Media Information System);IODB (Internet Object Database);EMIS (Extended Meta Information System);XMD (Extended Mata Data);XOD (Extended Object Data)
3;6;3;8;8;5;2;3;0;6;2;1
9;4;5;5;6;5;10;9;10;7;10;10
3;5;7;3;1;5;3;3;5;2;3;4
